country,year,subgroup,subgroup_level,pp_female_ceo
"Egypt, Arab Rep.",2020.0,,All,6.3
"Egypt, Arab Rep.",2020.0,Size,Small (5-19),6.5
"Egypt, Arab Rep.",2020.0,Size,Medium (20-99),6.4
"Egypt, Arab Rep.",2020.0,Size,Large (100+),1.1
El Salvador,2023.0,,All,25.6
El Salvador,2023.0,Size,Small (5-19),30.2
El Salvador,2023.0,Size,Medium (20-99),19.3
El Salvador,2023.0,Size,Large (100+),8.8
Eritrea,2009.0,,All,7.6
Eritrea,2009.0,Size,Small (5-19),9.7
Eritrea,2009.0,Size,Medium (20-99),1.6
Eritrea,2009.0,Size,Large (100+),0
Estonia,2023.0,,All,16
Estonia,2023.0,Size,Small (5-19),14
Estonia,2023.0,Size,Medium (20-99),19.7
Estonia,2023.0,Size,Large (100+),31.4
Eswatini,2016.0,,All,27.4
Eswatini,2016.0,Size,Small (5-19),31.3
Eswatini,2016.0,Size,Medium (20-99),23
Eswatini,2016.0,Size,Large (100+),14.6
Ethiopia,2015.0,,All,4.5
Ethiopia,2015.0,Size,Small (5-19),4.1
Ethiopia,2015.0,Size,Medium (20-99),5.3
Ethiopia,2015.0,Size,Large (100+),4.9
Fiji,2009.0,,All,
Fiji,2009.0,Size,Small (5-19),
Fiji,2009.0,Size,Medium (20-99),
Fiji,2009.0,Size,Large (100+),
Finland,2020.0,,All,12.9
Finland,2020.0,Size,Small (5-19),15.6
Finland,2020.0,Size,Medium (20-99),9.2
Finland,2020.0,Size,Large (100+),2.1
France,2021.0,,All,19.9
France,2021.0,Size,Small (5-19),23.7
France,2021.0,Size,Medium (20-99),8.2
France,2021.0,Size,Large (100+),10.2
Gabon,2009.0,,All,11.5
Gabon,2009.0,Size,Small (5-19),19.5
Gabon,2009.0,Size,Medium (20-99),5.1
Gabon,2009.0,Size,Large (100+),0
"Gambia, The",2023.0,,All,8.2
"Gambia, The",2023.0,Size,Small (5-19),7.4
"Gambia, The",2023.0,Size,Medium (20-99),12.4
"Gambia, The",2023.0,Size,Large (100+),0
Georgia,2023.0,,All,21
Georgia,2023.0,Size,Small (5-19),23.6
Georgia,2023.0,Size,Medium (20-99),17.1
Georgia,2023.0,Size,Large (100+),15.2
Germany,2021.0,,All,14.2
Germany,2021.0,Size,Small (5-19),16.4
Germany,2021.0,Size,Medium (20-99),11
Germany,2021.0,Size,Large (100+),5.5
Ghana,2023.0,,All,19.8
Ghana,2023.0,Size,Small (5-19),23.6
Ghana,2023.0,Size,Medium (20-99),11.7
Ghana,2023.0,Size,Large (100+),18.1
Greece,2023.0,,All,15.6
Greece,2023.0,Size,Medium (20-99),12.7
Greece,2023.0,Size,Small (5-19),16.9
Greece,2023.0,Size,Large (100+),17.2
Grenada,2010.0,,All,24
Grenada,2010.0,Size,Small (5-19),26.2
Grenada,2010.0,Size,Medium (20-99),19.6
Grenada,2010.0,Size,Large (100+),16.3
Guatemala,2017.0,,All,18.5
Guatemala,2017.0,Size,Small (5-19),20.3
Guatemala,2017.0,Size,Medium (20-99),15.3
Guatemala,2017.0,Size,Large (100+),12.1
Guinea,2016.0,,All,5.8
Guinea,2016.0,Size,Small (5-19),6.8
Guinea,2016.0,Size,Medium (20-99),1.7
Guinea,2016.0,Size,Large (100+),0
Guinea-Bissau,2006.0,,All,
Guinea-Bissau,2006.0,Size,Small (5-19),
Guinea-Bissau,2006.0,Size,Medium (20-99),
Guinea-Bissau,2006.0,Size,Large (100+),
"Guyana, CR",2010.0,,All,17.7
"Guyana, CR",2010.0,Size,Medium (20-99),19.3
"Guyana, CR",2010.0,Size,Small (5-19),21.4
"Guyana, CR",2010.0,Size,Large (100+),7
Honduras,2016.0,,All,28
Honduras,2016.0,Size,Small (5-19),32.9
Honduras,2016.0,Size,Medium (20-99),20.1
Honduras,2016.0,Size,Large (100+),5.1
"Hong Kong SAR, China",2023.0,,All,43.6
"Hong Kong SAR, China",2023.0,Size,Small (5-19),44.4
"Hong Kong SAR, China",2023.0,Size,Medium (20-99),38.1
"Hong Kong SAR, China",2023.0,Size,Large (100+),59.8
Hungary,2023.0,,All,18.1
Hungary,2023.0,Size,Small (5-19),19.7
Hungary,2023.0,Size,Medium (20-99),9.3
Hungary,2023.0,Size,Large (100+),5.1
India,2022.0,,All,6.8
India,2022.0,Size,Small (5-19),6.7
India,2022.0,Size,Medium (20-99),6.8
India,2022.0,Size,Large (100+),12.1
Indonesia,2023.0,,All,31.8
Indonesia,2023.0,Size,Small (5-19),33.3
Indonesia,2023.0,Size,Medium (20-99),29.1
Indonesia,2023.0,Size,Large (100+),26.9
Iraq,2022.0,,All,1.6
Iraq,2022.0,Size,Small (5-19),2.2
Iraq,2022.0,Size,Medium (20-99),0.3
Iraq,2022.0,Size,Large (100+),0
Ireland,2020.0,,All,15.1
Ireland,2020.0,Size,Small (5-19),16.7
Ireland,2020.0,Size,Medium (20-99),12.7
Ireland,2020.0,Size,Large (100+),6.9
Israel,2013.0,,All,10.1
Israel,2013.0,Size,Small (5-19),12.9
Israel,2013.0,Size,Medium (20-99),3.5
Israel,2013.0,Size,Large (100+),5.1
Italy,2019.0,,All,15.3
Italy,2019.0,Size,Small (5-19),15.4
Italy,2019.0,Size,Medium (20-99),14.8
Italy,2019.0,Size,Large (100+),15
Jamaica,2010.0,,All,24.1
Jamaica,2010.0,Size,Medium (20-99),29.5
Jamaica,2010.0,Size,Small (5-19),22.7
Jamaica,2010.0,Size,Large (100+),8.3
Jordan,2019.0,,All,3.1
Jordan,2019.0,Size,Small (5-19),3.8
Jordan,2019.0,Size,Medium (20-99),2.9
Jordan,2019.0,Size,Large (100+),0.1
Kazakhstan,2019.0,,All,26
Kazakhstan,2019.0,Size,Small (5-19),27
Kazakhstan,2019.0,Size,Medium (20-99),25.3
Kazakhstan,2019.0,Size,Large (100+),13.4
Kenya,2018.0,,All,18.1
Kenya,2018.0,Size,Small (5-19),22.1
Kenya,2018.0,Size,Medium (20-99),9.9
Kenya,2018.0,Size,Large (100+),8.8
Kosovo,2019.0,,All,2.7
Kosovo,2019.0,Size,Small (5-19),3.4
Kosovo,2019.0,Size,Medium (20-99),0.9
Kosovo,2019.0,Size,Large (100+),0
Kyrgyz Republic,2023.0,,All,21.7
Kyrgyz Republic,2023.0,Size,Medium (20-99),10.6
Kyrgyz Republic,2023.0,Size,Small (5-19),29.8
Kyrgyz Republic,2023.0,Size,Large (100+),6.1
Lao PDR,2018.0,,All,43.1
Lao PDR,2018.0,Size,Small (5-19),53.2
Lao PDR,2018.0,Size,Medium (20-99),12.2
Lao PDR,2018.0,Size,Large (100+),5.9
Latvia,2019.0,,All,32.6
Latvia,2019.0,Size,Small (5-19),34.7
Latvia,2019.0,Size,Medium (20-99),28.2
Latvia,2019.0,Size,Large (100+),24.1
Lebanon,2019.0,,All,5.9
Lebanon,2019.0,Size,Small (5-19),5.1
Lebanon,2019.0,Size,Medium (20-99),5
Lebanon,2019.0,Size,Large (100+),25.1
Lesotho,2023.0,,All,30
Lesotho,2023.0,Size,Small (5-19),32.1
Lesotho,2023.0,Size,Medium (20-99),25.8
Lesotho,2023.0,Size,Large (100+),30.1
Liberia,2017.0,,All,20.4
Liberia,2017.0,Size,Small (5-19),14.9
Liberia,2017.0,Size,Medium (20-99),34.4
Liberia,2017.0,Size,Large (100+),10.2
Lithuania,2019.0,,All,30.7
Lithuania,2019.0,Size,Small (5-19),32
Lithuania,2019.0,Size,Medium (20-99),28.5
Lithuania,2019.0,Size,Large (100+),17.8
Luxembourg,2020.0,,All,7.4
Luxembourg,2020.0,Size,Small (5-19),8.5
Luxembourg,2020.0,Size,Medium (20-99),6.3
Luxembourg,2020.0,Size,Large (100+),4.1
Madagascar,2022.0,,All,37.3
Madagascar,2022.0,Size,Small (5-19),45.4
Madagascar,2022.0,Size,Medium (20-99),12.2
Madagascar,2022.0,Size,Large (100+),10.6
Malawi,2014.0,,All,14.2
Malawi,2014.0,Size,Small (5-19),17.3
Malawi,2014.0,Size,Medium (20-99),13.9
Malawi,2014.0,Size,Large (100+),3.6
Malaysia,2019.0,,All,33.2
Malaysia,2019.0,Size,Medium (20-99),22.4
Malaysia,2019.0,Size,Small (5-19),39.2
Malaysia,2019.0,Size,Large (100+),19.7
Mali,2016.0,,All,11.6
Mali,2016.0,Size,Small (5-19),13
Mali,2016.0,Size,Medium (20-99),8.3
Mali,2016.0,Size,Large (100+),13.6
Malta,2019.0,,All,11.3
Malta,2019.0,Size,Small (5-19),12.8
Malta,2019.0,Size,Medium (20-99),10.4
Malta,2019.0,Size,Large (100+),7.2
Mauritania,2014.0,,All,4.5
Mauritania,2014.0,Size,Small (5-19),2
Mauritania,2014.0,Size,Medium (20-99),7.2
Mauritania,2014.0,Size,Large (100+),5.5
Mauritius,2023.0,,All,18.1
Mauritius,2023.0,Size,Small (5-19),25.1
Mauritius,2023.0,Size,Medium (20-99),12.5
Mauritius,2023.0,Size,Large (100+),5.5
Mexico,2023.0,,All,15.7
Mexico,2023.0,Size,Small (5-19),19.5
Mexico,2023.0,Size,Large (100+),1
Mexico,2023.0,Size,Medium (20-99),8.4
"Micronesia, Fed. Sts.",2009.0,,All,
"Micronesia, Fed. Sts.",2009.0,Size,Small (5-19),
"Micronesia, Fed. Sts.",2009.0,Size,Medium (20-99),
Moldova,2024.0,,All,21.6
Moldova,2024.0,Size,Medium (20-99),9.2
Moldova,2024.0,Size,Small (5-19),26.3
Moldova,2024.0,Size,Large (100+),15.6
Mongolia,2019.0,,All,38.9
Mongolia,2019.0,Size,Small (5-19),44.4
Mongolia,2019.0,Size,Medium (20-99),26.9
Mongolia,2019.0,Size,Large (100+),24.4
Montenegro,2023.0,,All,13.5
Montenegro,2023.0,Size,Small (5-19),13.6
Montenegro,2023.0,Size,Medium (20-99),4.6
Montenegro,2023.0,Size,Large (100+),33.3
Morocco,2023.0,,All,5.4
Morocco,2023.0,Size,Medium (20-99),1.8
Morocco,2023.0,Size,Small (5-19),6.8
Morocco,2023.0,Size,Large (100+),8.3
Mozambique,2018.0,,All,15.6
Mozambique,2018.0,Size,Small (5-19),17.2
Mozambique,2018.0,Size,Medium (20-99),16.1
Mozambique,2018.0,Size,Large (100+),1.6
Myanmar,2016.0,,All,41.1
Myanmar,2016.0,Size,Small (5-19),44.5
Myanmar,2016.0,Size,Medium (20-99),25.6
Myanmar,2016.0,Size,Large (100+),37.3
Namibia,2014.0,,All,27.4
Namibia,2014.0,Size,Small (5-19),28.3
Namibia,2014.0,Size,Medium (20-99),24.5
Namibia,2014.0,Size,Large (100+),21.6
Nepal,2023.0,,All,10.3
Nepal,2023.0,Size,Small (5-19),10.6
Nepal,2023.0,Size,Medium (20-99),8.8
Nepal,2023.0,Size,Large (100+),11.2
Netherlands,2020.0,,All,13.7
Netherlands,2020.0,Size,Small (5-19),12.6
Netherlands,2020.0,Size,Medium (20-99),16.2
Netherlands,2020.0,Size,Large (100+),11.9
New Zealand,2023.0,,All,20.3
New Zealand,2023.0,Size,Small (5-19),19.9
New Zealand,2023.0,Size,Medium (20-99),20.9
New Zealand,2023.0,Size,Large (100+),28.6
Nicaragua,2016.0,,All,27
Nicaragua,2016.0,Size,Medium (20-99),36.9
Nicaragua,2016.0,Size,Small (5-19),23
Nicaragua,2016.0,Size,Large (100+),2.1
Niger,2017.0,,All,10.6
Niger,2017.0,Size,Small (5-19),8.9
Niger,2017.0,Size,Medium (20-99),16.8
Niger,2017.0,Size,Large (100+),4.7
Nigeria,2014.0,,All,13.9
Nigeria,2014.0,Size,Small (5-19),16
Nigeria,2014.0,Size,Medium (20-99),5.6
Nigeria,2014.0,Size,Large (100+),6.2
North Macedonia,2023.0,,All,16.4
North Macedonia,2023.0,Size,Small (5-19),16.9
North Macedonia,2023.0,Size,Medium (20-99),13.3
North Macedonia,2023.0,Size,Large (100+),18.3
Pakistan,2022.0,,All,3.4
Pakistan,2022.0,Size,Medium (20-99),1.4
Pakistan,2022.0,Size,Small (5-19),2.7
Pakistan,2022.0,Size,Large (100+),12.7
Panama,2010.0,,All,23.5
Panama,2010.0,Size,Medium (20-99),24.9
Panama,2010.0,Size,Small (5-19),24
Panama,2010.0,Size,Large (100+),12.8
Papua New Guinea,2015.0,,All,13.8
Papua New Guinea,2015.0,Size,Medium (20-99),9.2
Papua New Guinea,2015.0,Size,Large (100+),17.3
Papua New Guinea,2015.0,Size,Small (5-19),19.4
Paraguay,2023.0,,All,19.1
Paraguay,2023.0,Size,Medium (20-99),16
Paraguay,2023.0,Size,Small (5-19),22.2
Paraguay,2023.0,Size,Large (100+),10.7
Peru,2023.0,,All,22.4
Peru,2023.0,Size,Small (5-19),24.9
Peru,2023.0,Size,Medium (20-99),20.1
Peru,2023.0,Size,Large (100+),12.2
Philippines,2023.0,,All,43.4
Philippines,2023.0,Size,Small (5-19),45.6
Philippines,2023.0,Size,Medium (20-99),38.3
Philippines,2023.0,Size,Large (100+),37.2
Poland,2019.0,,All,27.8
Poland,2019.0,Size,Small (5-19),28.1
Poland,2019.0,Size,Medium (20-99),25.5
Poland,2019.0,Size,Large (100+),25.7
Portugal,2023.0,,All,19.1
Portugal,2023.0,Size,Small (5-19),21.2
Portugal,2023.0,Size,Medium (20-99),13.3
Portugal,2023.0,Size,Large (100+),4.2
Romania,2023.0,,All,19
Romania,2023.0,Size,Small (5-19),18.1
Romania,2023.0,Size,Medium (20-99),25.3
Romania,2023.0,Size,Large (100+),7
Russian Federation,2019.0,,All,24.3
Russian Federation,2019.0,Size,Small (5-19),24.6
Russian Federation,2019.0,Size,Medium (20-99),24.5
Russian Federation,2019.0,Size,Large (100+),16.8
Rwanda,2023.0,,All,28.1
Rwanda,2023.0,Size,Small (5-19),31.9
Rwanda,2023.0,Size,Medium (20-99),22.2
Rwanda,2023.0,Size,Large (100+),7.5
Samoa,2023.0,,All,48
Samoa,2023.0,Size,Small (5-19),51.8
Samoa,2023.0,Size,Medium (20-99),36.1
Samoa,2023.0,Size,Large (100+),n.a.
Saudi Arabia,2022.0,,All,3
Saudi Arabia,2022.0,Size,Small (5-19),3.9
Saudi Arabia,2022.0,Size,Medium (20-99),1.2
Saudi Arabia,2022.0,Size,Large (100+),0.5
Senegal,2014.0,,All,14.1
Senegal,2014.0,Size,Small (5-19),18.6
Senegal,2014.0,Size,Medium (20-99),9.2
Senegal,2014.0,Size,Large (100+),0.5
Serbia,2019.0,,All,18.2
Serbia,2019.0,Size,Small (5-19),20.7
Serbia,2019.0,Size,Medium (20-99),14.5
Serbia,2019.0,Size,Large (100+),12.4
Seychelles,2023.0,,All,26.3
Seychelles,2023.0,Size,Small (5-19),23.7
Seychelles,2023.0,Size,Medium (20-99),37.1
Seychelles,2023.0,Size,Large (100+),14.3
Sierra Leone,2023.0,,All,13
Sierra Leone,2023.0,Size,Small (5-19),14.2
Sierra Leone,2023.0,Size,Medium (20-99),0.9
Sierra Leone,2023.0,Size,Large (100+),0
Singapore,2023.0,,All,21.8
Singapore,2023.0,Size,Small (5-19),24.5
Singapore,2023.0,Size,Medium (20-99),18.5
Singapore,2023.0,Size,Large (100+),10.4
Slovak Republic,2023.0,,All,20.6
Slovak Republic,2023.0,Size,Small (5-19),21.3
Slovak Republic,2023.0,Size,Medium (20-99),18.6
Slovak Republic,2023.0,Size,Large (100+),17
Slovenia,2019.0,,All,18.8
Slovenia,2019.0,Size,Small (5-19),19.6
Slovenia,2019.0,Size,Medium (20-99),18.1
Slovenia,2019.0,Size,Large (100+),10.5
Solomon Islands,2015.0,,All,22.6
Solomon Islands,2015.0,Size,Medium (20-99),21.4
Solomon Islands,2015.0,Size,Small (5-19),26.4
Solomon Islands,2015.0,Size,Large (100+),14.8
South Africa,2020.0,,All,38.5
South Africa,2020.0,Size,Small (5-19),41
South Africa,2020.0,Size,Medium (20-99),37.4
South Africa,2020.0,Size,Large (100+),26.6
South Sudan,2014.0,,All,9.5
South Sudan,2014.0,Size,Small (5-19),9.7
South Sudan,2014.0,Size,Medium (20-99),8.6
South Sudan,2014.0,Size,Large (100+),0
Spain,2021.0,,All,17.6
Spain,2021.0,Size,Medium (20-99),16.8
Spain,2021.0,Size,Small (5-19),17.1
Spain,2021.0,Size,Large (100+),30.9
Sri Lanka,2011.0,,All,8.8
Sri Lanka,2011.0,Size,Small (5-19),9.5
Sri Lanka,2011.0,Size,Medium (20-99),7.1
Sri Lanka,2011.0,Size,Large (100+),4.8
St. Kitts and Nevis,2010.0,,All,21.1
St. Kitts and Nevis,2010.0,Size,Small (5-19),23.7
St. Kitts and Nevis,2010.0,Size,Medium (20-99),15.4
St. Kitts and Nevis,2010.0,Size,Large (100+),19.9
St. Lucia,2010.0,,All,23.7
St. Lucia,2010.0,Size,Small (5-19),18.7
St. Lucia,2010.0,Size,Medium (20-99),39.2
St. Lucia,2010.0,Size,Large (100+),12.6
St. Vincent and the Grenadines,2010.0,,All,38.6
St. Vincent and the Grenadines,2010.0,Size,Small (5-19),41.3
St. Vincent and the Grenadines,2010.0,Size,Medium (20-99),25.7
St. Vincent and the Grenadines,2010.0,Size,Large (100+),52.9
Sudan,2014.0,,All,3.4
Sudan,2014.0,Size,Small (5-19),2.5
Sudan,2014.0,Size,Medium (20-99),4.6
Sudan,2014.0,Size,Large (100+),4.4
Suriname,2018.0,,All,11.9
Suriname,2018.0,Size,Small (5-19),13.3
Suriname,2018.0,Size,Medium (20-99),9.2
Suriname,2018.0,Size,Large (100+),6.8
Sweden,2020.0,,All,14
Sweden,2020.0,Size,Medium (20-99),16.9
Sweden,2020.0,Size,Small (5-19),12.9
Sweden,2020.0,Size,Large (100+),14.9
Tajikistan,2019.0,,All,6.6
Tajikistan,2019.0,Size,Small (5-19),7.4
Tajikistan,2019.0,Size,Medium (20-99),6.2
Tajikistan,2019.0,Size,Large (100+),1
Tanzania,2023.0,,All,17.5
Tanzania,2023.0,Size,Small (5-19),17.4
Tanzania,2023.0,Size,Medium (20-99),17.6
Tanzania,2023.0,Size,Large (100+),18.4
Thailand,2016.0,,All,64.8
Thailand,2016.0,Size,Small (5-19),61.3
Thailand,2016.0,Size,Medium (20-99),70.8
Thailand,2016.0,Size,Large (100+),75.2
Timor-Leste,2021.0,,All,32.2
Timor-Leste,2021.0,Size,Small (5-19),33
Timor-Leste,2021.0,Size,Medium (20-99),32.3
Timor-Leste,2021.0,Size,Large (100+),16.3
Togo,2023.0,,All,13.2
Togo,2023.0,Size,Small (5-19),14
Togo,2023.0,Size,Medium (20-99),15.5
Togo,2023.0,Size,Large (100+),2.7
Tonga,2009.0,,All,
Tonga,2009.0,Size,Small (5-19),
Tonga,2009.0,Size,Medium (20-99),
Trinidad and Tobago,2010.0,,All,20.8
Trinidad and Tobago,2010.0,Size,Small (5-19),22.8
Trinidad and Tobago,2010.0,Size,Medium (20-99),16.1
Trinidad and Tobago,2010.0,Size,Large (100+),12.7
Tunisia,2020.0,,All,10.4
Tunisia,2020.0,Size,Medium (20-99),10.1
Tunisia,2020.0,Size,Small (5-19),10.1
Tunisia,2020.0,Size,Large (100+),12.3
Turkiye,2019.0,,All,3.9
Turkiye,2019.0,Size,Small (5-19),3
Turkiye,2019.0,Size,Medium (20-99),6.3
Turkiye,2019.0,Size,Large (100+),4
Uganda,2013.0,,All,15.4
Uganda,2013.0,Size,Small (5-19),16.8
Uganda,2013.0,Size,Medium (20-99),10.5
Uganda,2013.0,Size,Large (100+),6.9
Ukraine,2019.0,,All,17.7
Ukraine,2019.0,Size,Medium (20-99),12.8
Ukraine,2019.0,Size,Small (5-19),21.3
Ukraine,2019.0,Size,Large (100+),11.9
Uruguay,2017.0,,All,10.6
Uruguay,2017.0,Size,Medium (20-99),11.1
Uruguay,2017.0,Size,Small (5-19),10.9
Uruguay,2017.0,Size,Large (100+),5.6
