Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Percent of firms with women participation in ownership,Percent of firms with majority women ownership,Percent of firms with a woman top manager,[B-READY] Percent of firms owned or managed by women among those that held a government contract in last 3 years,Proportion of permanent full-time workers that are women (%),Proportion of permanent full-time production workers that are women (%)*,Proportion of permanent full-time non-production workers that are women (%)*,Proportion of women workers offered formal training over last fiscal year (%)*,"Proportion of women workers offered formal training over last fiscal year (%, only service sector)"
Argentina,2006,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,33.9,,,,20.9,13,48,,
Argentina,2006,Sector,Services,All,Average,24.1,,,,,,,,
Argentina,2006,Sector,Services,Retail,Average,33.4,,,,,,,,
Argentina,2006,Sector,Services,IT & IT Services,Average,22,,,,,,,,
Argentina,2006,Sector,Services,Rest of Universe-Services,Average,12.8,,,,,,,,
Argentina,2006,Size,,Small (5-19),Average,27.1,,,,17,9,50,,
Argentina,2006,Size,,Medium (20-99),Average,35.9,,,,25.6,18.1,46,,
Argentina,2006,Size,,Large (100+),Average,26.2,,,,24.7,22.7,39.2,,
Argentina,2010,,,,Average,38,,9.2,,20.3,11.1,38.6,,
Argentina,2010,Sector,Manufacturing,All,Average,31.9,,6.1,,18.6,11.1,38.6,,
Argentina,2010,Sector,Manufacturing,Food,Average,46.5,,4.7,,18.7,9.1,36.8,,
Argentina,2010,Sector,Manufacturing,Textiles & Garments,Average,33.7,,13.5,,43.7,42.1,43.2,,
Argentina,2010,Sector,Manufacturing,"Chemicals, Plastics & Rubber",Average,26.1,,4.2,,23.2,13.5,39.7,,
Argentina,2010,Sector,Manufacturing,Basic Metals/Fabricated Metals/Machinery & Equip.,Average,29.6,,5.7,,11.2,2.6,36.2,,
Argentina,2010,Sector,Manufacturing,Other Manufacturing,Average,25.7,,7.4,,14.8,10.1,40.3,,
Argentina,2010,Sector,Services,All,Average,42.6,,11.6,,21.7,,,,
Argentina,2010,Sector,Services,Retail,Average,47.3,,13.8,,26.5,,,,
Argentina,2010,Sector,Services,Other Services,Average,40.6,,10.7,,19.7,,,,
Argentina,2010,Size,,Medium (20-99),Average,30.4,,6.9,,17.1,10.1,35.7,,
Argentina,2010,Size,,Small (5-19),Average,46.9,,11.9,,22.5,10.8,43.2,,
Argentina,2010,Size,,Large (100+),Average,16.3,,3.6,,20.8,15,35.2,,
Argentina,2010,Gender of Top Manager,,Top manager is female,Average,92.3,,100,,28.7,12.2,52.7,,
Argentina,2010,Gender of Top Manager,,Top manager is male,Average,32.1,,0,,19.3,10.6,37.5,,
Argentina,2017,,,,Average,57.8,7.9,8,,26.9,13.1,40.1,,
Argentina,2017,Sector,Manufacturing,All,Average,59,10.6,8.2,,21.5,13.1,40.1,,
Argentina,2017,Sector,Manufacturing,Food,Average,50.2,9.7,16.7,,26.3,19.6,45.5,,
Argentina,2017,Sector,Manufacturing,Textiles & Garments,Average,71.2,14.8,16,,37.3,32.1,43.3,,
Argentina,2017,Sector,Manufacturing,Other Manufacturing,Average,59.9,10.2,3.6,,17,7.4,37.9,,
Argentina,2017,Sector,Services,All,Average,56.8,5.5,7.8,,31.5,,,,
Argentina,2017,Sector,Services,Retail,Average,63.8,11.6,4,,33.7,,,,
Argentina,2017,Sector,Services,Other Services,Average,53.5,2.7,9.6,,30.5,,,,
Argentina,2017,Size,,Small (5-19),Average,54.6,9.3,9.5,,29.5,12.9,43.2,,
Argentina,2017,Size,,Medium (20-99),Average,65.6,6,4.7,,20.2,12.2,35.2,,
Argentina,2017,Size,,Large (100+),Average,57.7,3,6.9,,27.1,17.7,35.4,,
Argentina,2017,Gender of Top Manager,,Top manager is female,Average,88,38.4,100,,40.7,26.5,51.5,,
Argentina,2017,Gender of Top Manager,,Top manager is male,Average,55.3,5.2,0,,25.7,11.8,39.2,,
Armenia,2009,,,,Average,31.8,,13.5,,36.9,27.7,37.7,,
Armenia,2009,Sector,Manufacturing,All,Average,36,,4.1,,31.9,27.7,37.7,,
Armenia,2009,Sector,Manufacturing,Manufacturing,Average,36,,4.1,,31.9,27.7,37.7,,
Armenia,2009,Sector,Services,All,Average,30.3,,16.7,,38.5,,,,
Armenia,2009,Sector,Services,Retail,Average,38.9,,21.8,,50,,,,
Armenia,2009,Sector,Services,Other Services,Average,25.9,,14,,32.7,,,,
Armenia,2009,Size,,Small (5-19),Average,32.9,,20.9,,40.4,26.1,29.1,,
Armenia,2009,Size,,Medium (20-99),Average,29.1,,4.1,,32,25.8,45.3,,
Armenia,2009,Size,,Large (100+),Average,34.3,,7,,34.9,34.5,40.1,,
Armenia,2009,Gender of Top Manager,,Top manager is female,Average,73.1,,100,,56.8,63,36.4,,
Armenia,2009,Gender of Top Manager,,Top manager is male,Average,25.3,,0,,33.8,26.1,37.8,,
Armenia,2013,,,,Average,24.4,10.5,14.1,,44.7,34.3,48.7,,
Armenia,2013,Sector,Manufacturing,All,Average,24.5,3.7,10.7,,37.9,34.3,48.7,,
Armenia,2013,Sector,Manufacturing,Manufacturing,Average,24.5,3.7,10.7,,37.9,34.3,48.7,,
Armenia,2013,Sector,Services,All,Average,24.4,13.2,15.4,,47.4,,,,
Armenia,2013,Sector,Services,Retail,Average,29.8,17.5,19,,53.2,,,,
Armenia,2013,Sector,Services,Other Services,Average,21,10.6,13.2,,43.9,,,,
Armenia,2013,Size,,Small (5-19),Average,27.1,13.7,17.3,,48.9,32.2,50.1,,
Armenia,2013,Size,,Medium (20-99),Average,22.3,9.6,12.5,,40.4,34.2,46.6,,
Armenia,2013,Size,,Large (100+),Average,20.1,0,6,,39.8,39,50.4,,
Armenia,2013,Gender of Top Manager,,Top manager is female,Average,76.6,59.6,100,,59.9,50.9,64.8,,
Armenia,2013,Gender of Top Manager,,Top manager is male,Average,15.8,2.3,0,,42.1,32.4,47.1,,
Armenia,2020,,,,Average,27.4,18.1,19.1,,48.1,42.2,45.6,,
Armenia,2020,Sector,Manufacturing,All,Average,29.5,15.6,17.3,,43.7,42.2,45.6,,
Armenia,2020,Sector,Manufacturing,Food,Average,44.5,26.2,27.1,,60.1,68.4,44.7,,
Armenia,2020,Sector,Manufacturing,Other Manufacturing,Average,20.2,9,11.2,,33.5,25.7,46.1,,
Armenia,2020,Sector,Services,All,Average,26.9,18.8,19.6,,49.3,,,,
Armenia,2020,Sector,Services,Retail,Average,28.8,17.2,20.4,,52.8,,,,
Armenia,2020,Sector,Services,Other Services,Average,25.9,19.6,19.2,,47.4,,,,
Armenia,2020,Size,,Small (5-19),Average,29.4,19.7,22.2,,47.7,36.2,47.3,,
Armenia,2020,Size,,Medium (20-99),Average,23.9,16,13.8,,48.3,48.9,43.7,,
Armenia,2020,Size,,Large (100+),Average,25.7,15.1,15.8,,49.8,47.9,43.7,,
Armenia,2020,Gender of Top Manager,,Top manager is female,Average,69.4,54.5,100,,65.1,66,64.7,,
Armenia,2020,Gender of Top Manager,,Top manager is male,Average,17.5,9.4,0,,44.1,37.2,41.5,,
Austria,2021,,,,Average,36.9,16.2,18.8,,39.2,27.1,49.2,,
Austria,2021,Sector,Manufacturing,All,Average,25.7,7.4,10.2,,33,27.1,49.2,,
Austria,2021,Sector,Manufacturing,Food,Average,32.6,12.3,14.4,,43.9,37.1,61.8,,
Austria,2021,Sector,Manufacturing,Machinery & Equipment,Average,13.1,0.7,0.6,,19.2,10.8,45.5,,
Austria,2021,Sector,Manufacturing,Other Manufacturing,Average,25.8,7,10.7,,31.7,26.7,45,,
Austria,2021,Sector,Services,All,Average,40.1,18.8,21.3,,41,,,,
Austria,2021,Sector,Services,Retail,Average,42.5,21.8,22.2,,48.9,,,,
Austria,2021,Sector,Services,Other Services,Average,39.5,17.9,21,,38.9,,,,
Austria,2021,Size,,Small (5-19),Average,37.6,17.4,20.1,,40.8,29.2,50.4,,
Austria,2021,Size,,Medium (20-99),Average,35.6,15.6,17.8,,35.4,21.1,50.5,,
Austria,2021,Size,,Large (100+),Average,32.1,2.2,4.2,,32.1,28.4,38.8,,
Austria,2021,Gender of Top Manager,,Top manager is female,Average,87.2,69.9,100,,59.2,66.1,75.4,,
Austria,2021,Gender of Top Manager,,Top manager is male,Average,25.2,3.7,0,,34.6,22.5,46,,
Azerbaijan,2009,,,,Average,10.8,,4.7,,30.2,38.8,28.9,,
Azerbaijan,2009,Sector,Manufacturing,All,Average,11.7,,6.5,,36.7,38.8,28.9,,
Azerbaijan,2009,Sector,Manufacturing,Manufacturing,Average,11.7,,6.5,,36.7,38.8,28.9,,
Azerbaijan,2009,Sector,Services,All,Average,10.4,,4,,27.6,,,,
Azerbaijan,2009,Sector,Services,Retail,Average,15.7,,4,,41.8,,,,
Azerbaijan,2009,Sector,Services,Other Services,Average,7.7,,4.1,,20.2,,,,
Azerbaijan,2009,Size,,Small (5-19),Average,10.1,,4.6,,31.6,40.1,23.5,,
Azerbaijan,2009,Size,,Medium (20-99),Average,11.5,,6.4,,27.4,36.4,35.5,,
Azerbaijan,2009,Size,,Large (100+),Average,13,,0,,30.1,39.3,32.3,,
Azerbaijan,2009,Gender of Top Manager,,Top manager is female,Average,85.8,,100,,38.3,40.7,n.a.,,
Azerbaijan,2009,Gender of Top Manager,,Top manager is male,Average,6.9,,0,,29.8,38.7,27.3,,
Azerbaijan,2013,,,,Average,4,2.1,2.6,,31.2,33.5,37.7,,
Azerbaijan,2013,Sector,Manufacturing,All,Average,3.7,2.4,4.1,,33.9,33.5,37.7,,
Azerbaijan,2013,Sector,Manufacturing,Manufacturing,Average,3.7,2.4,4.1,,33.9,33.5,37.7,,
Azerbaijan,2013,Sector,Services,All,Average,4.1,2,2.1,,30.4,,,,
Azerbaijan,2013,Sector,Services,Retail,Average,4.4,2.7,4.3,,39.9,,,,
Azerbaijan,2013,Sector,Services,Other Services,Average,4,1.7,1.3,,26.5,,,,
Azerbaijan,2013,Size,,Small (5-19),Average,3.4,1.3,1.9,,33.2,36.1,35.7,,
Azerbaijan,2013,Size,,Medium (20-99),Average,5.6,3.5,3.8,,27.8,29.5,39.5,,
Azerbaijan,2013,Size,,Large (100+),Average,0,0,0,,34.7,43.1,38.5,,
Azerbaijan,2013,Gender of Top Manager,,Top manager is female,Average,67.2,61.8,100,,37.9,n.a.,n.a.,,
Azerbaijan,2013,Gender of Top Manager,,Top manager is male,Average,2.4,0.5,0,,31,33.4,37.6,,
Azerbaijan,2019,,,,Average,15.3,10.5,16.5,,33,25.9,35.9,,
Azerbaijan,2019,Sector,Manufacturing,All,Average,28.5,21.6,16.1,,29.1,25.9,35.9,,
Azerbaijan,2019,Sector,Manufacturing,Manufacturing,Average,28.5,21.6,16.1,,29.1,25.9,35.9,,
Azerbaijan,2019,Sector,Services,All,Average,12.8,8.5,16.6,,33.6,,,,
Azerbaijan,2019,Sector,Services,Retail,Average,10.2,8,16.7,,37.9,,,,
Azerbaijan,2019,Sector,Services,Other Services,Average,14,8.7,16.6,,31.6,,,,
Azerbaijan,2019,Size,,Small (5-19),Average,11.8,7.4,16.1,,35.1,18.8,26.9,,
Azerbaijan,2019,Size,,Medium (20-99),Average,25.8,20.6,23.3,,32.2,33.9,52.3,,
Azerbaijan,2019,Size,,Large (100+),Average,6.3,1.2,4.1,,26.6,24.4,29.3,,
Azerbaijan,2019,Gender of Top Manager,,Top manager is female,Average,25.9,17.5,100,,38.2,n.a.,n.a.,,
Azerbaijan,2019,Gender of Top Manager,,Top manager is male,Average,13.5,9.4,0,,31.9,24.3,32.6,,
"Bahamas, The",2010,,,,Average,58.3,,33.2,,44.3,,,,
"Bahamas, The",2010,Sector,Manufacturing,All,Average,59.2,,29.1,,35,,,,
"Bahamas, The",2010,Sector,Manufacturing,Manufacturing,Average,59.2,,29.1,,35,,,,
"Bahamas, The",2010,Sector,Services,All,Average,58.2,,33.7,,45.4,,,,
"Bahamas, The",2010,Sector,Services,Services,Average,58.2,,33.7,,45.4,,,,
"Bahamas, The",2010,Size,,Small (5-19),Average,55.8,,37.4,,44.2,,,,
"Bahamas, The",2010,Size,,Medium (20-99),Average,61.5,,34.9,,46.1,,,,
"Bahamas, The",2010,Size,,Large (100+),Average,60.9,,5,,36.2,,,,
"Bahamas, The",2010,Gender of Top Manager,,Top manager is female,Average,85.1,,100,,49.9,,,,
"Bahamas, The",2010,Gender of Top Manager,,Top manager is male,Average,44.4,,0,,41.7,,,,
Bangladesh,2007,,,,Average,16.1,,1.3,,19.4,20.5,6.6,,
Bangladesh,2007,Sector,Manufacturing,All,Average,18.4,,1.4,,19.4,20.5,6.6,,
Bangladesh,2007,Sector,Manufacturing,Food,Average,11,,0.1,,11.7,11.3,7.2,,
Bangladesh,2007,Sector,Manufacturing,Textiles,Average,35.1,,3.6,,13.3,13.9,7.1,,
Bangladesh,2007,Sector,Manufacturing,Garments,Average,33.5,,3,,46,49.2,10.5,,
Bangladesh,2007,Sector,Manufacturing,Leather Products,Average,7.3,,0.3,,2.8,2.9,1.3,,
Bangladesh,2007,Sector,Manufacturing,Chemicals & Chemical Products,Average,1.7,,0.1,,1.5,1.7,1.2,,
Bangladesh,2007,Sector,Manufacturing,Machinery & Equipment & Electronics,Average,35.2,,0,,8,8.6,8.7,,
Bangladesh,2007,Sector,Manufacturing,Other Manufacturing,Average,6,,0.2,,5.4,4.7,7.7,,
Bangladesh,2007,Sector,Services,All,Average,8.4,,0.8,,,,,,
Bangladesh,2007,Sector,Services,Retail,Average,6.3,,0,,,,,,
Bangladesh,2007,Sector,Services,Other Services,Average,34.3,,10.8,,,,,,
Bangladesh,2007,Size,,Large (100+),Average,34.9,,2.3,,42.7,45.3,11.7,,
Bangladesh,2007,Size,,Medium (20-99),Average,18.9,,1.6,,8.3,8.5,5.9,,
Bangladesh,2007,Size,,Small (5-19),Average,0.4,,0.3,,2.7,2.9,1.5,,
Bangladesh,2007,Gender of Top Manager,,Top manager is female,Average,84.1,,100,,32.8,33.6,23.4,,
Bangladesh,2007,Gender of Top Manager,,Top manager is male,Average,15.2,,0,,19.2,20.3,6.3,,
Bangladesh,2013,,,,Average,12.7,1.7,4.8,,15.8,21.1,10.7,,
Bangladesh,2013,Sector,Manufacturing,All,Average,14.3,1.9,4.8,,20.3,21.1,10.7,,
Bangladesh,2013,Sector,Manufacturing,Food,Average,14.2,1.9,5.4,,6.6,7.9,2.5,,
Bangladesh,2013,Sector,Manufacturing,Garments,Average,16.2,2,7.8,,41.8,43.1,22,,
Bangladesh,2013,Sector,Manufacturing,Leather Products,Average,18.3,1.9,3.9,,5.9,6.3,4.4,,
Bangladesh,2013,Sector,Manufacturing,Chemicals & Chemical Products,Average,38.6,4.3,16,,9.5,14,8.5,,
Bangladesh,2013,Sector,Manufacturing,Motor Vehicles & Transport Equip.,Average,10.3,0,0,,1.7,1.4,0.8,,
Bangladesh,2013,Sector,Manufacturing,Furniture,Average,17.4,1.8,2.3,,12.2,11.5,6.6,,
Bangladesh,2013,Sector,Manufacturing,Other Manufacturing,Average,10.8,1.8,2.4,,13.8,14.2,7.8,,
Bangladesh,2013,Sector,Services,All,Average,8.4,1.2,4.9,,4.2,,,,
Bangladesh,2013,Sector,Services,Retail,Average,12.1,5,8.9,,10.1,,,,
Bangladesh,2013,Sector,Services,Other Services,Average,7.8,0.5,4.2,,3.2,,,,
Bangladesh,2013,Size,,Medium (20-99),Average,7.9,1.8,2.7,,8,10.7,6.6,,
Bangladesh,2013,Size,,Small (5-19),Average,6.9,1.4,3.6,,5.2,4.7,5.2,,
Bangladesh,2013,Size,,Large (100+),Average,26.9,2.1,9.4,,41.4,45,19.9,,
Bangladesh,2013,Gender of Top Manager,,Top manager is female,Average,66.8,23.7,100,,27.8,38.7,17.7,,
Bangladesh,2013,Gender of Top Manager,,Top manager is male,Average,9.9,0.6,0,,15.2,20.3,10.4,,
Bangladesh,2022,,,,Average,6.7,2.5,3.6,9.1,16.9,24.7,8.3,45.3,31.6
Bangladesh,2022,Sector,Manufacturing,All,Average,6.5,3.5,4.6,6.6,22.1,24.7,8.3,45.3,
Bangladesh,2022,Sector,Manufacturing,Food,Average,11.2,6.3,7,0,17.1,18.5,10.5,94.9,
Bangladesh,2022,Sector,Manufacturing,Textiles,Average,6.5,4.1,6.9,n.a.,17.3,18.6,6.3,49.3,
Bangladesh,2022,Sector,Manufacturing,Garments,Average,2.5,1.4,0.9,,43.9,49.8,6.9,30.8,
Bangladesh,2022,Sector,Manufacturing,Other Manufacturing,Average,3.7,1,2.5,n.a.,12.3,12.7,8.1,n.a.,
Bangladesh,2022,Sector,Services,All,Average,7.2,1,2.2,12.2,1.8,,,,31.6
Bangladesh,2022,Sector,Services,Retail,Average,5.4,2.3,3.7,n.a.,3.2,,,,46.9
Bangladesh,2022,Sector,Services,Hotels,Average,14.2,4.4,1.2,n.a.,0.1,,,,45.8
Bangladesh,2022,Sector,Services,Other Services,Average,6.8,0,1.7,11.7,1.3,,,,21.8
Bangladesh,2022,Size,,Small (5-19),Average,5.1,2.2,3.2,2.3,12,19.4,8.9,n.a.,n.a.
Bangladesh,2022,Size,,Medium (20-99),Average,7.4,2.8,3.9,17.7,14.3,18.4,6.9,32.2,38.8
Bangladesh,2022,Size,,Large (100+),Average,10.2,2.5,3.9,0,36,45,10,46.5,15.6
Bangladesh,2022,Gender of Top Manager,,Top manager is female,Average,62.2,57.3,100,n.a.,21.2,23.5,22.5,n.a.,n.a.
Bangladesh,2022,Gender of Top Manager,,Top manager is male,Average,4.7,0.4,0,5.7,16.8,24.8,7.5,44.6,31.4
Barbados,2010,,,,Average,43.5,,25.4,,48.3,,,,
Barbados,2010,Sector,Manufacturing,All,Average,49.9,,20.4,,42.7,,,,
Barbados,2010,Sector,Manufacturing,Manufacturing,Average,49.9,,20.4,,42.7,,,,
Barbados,2010,Sector,Services,All,Average,42.4,,26.2,,49.2,,,,
Barbados,2010,Sector,Services,Services,Average,42.4,,26.2,,49.2,,,,
Barbados,2010,Size,,Medium (20-99),Average,38.8,,16.2,,53.1,,,,
Barbados,2010,Size,,Small (5-19),Average,48.1,,31.9,,45.6,,,,
Barbados,2010,Size,,Large (100+),Average,22.4,,5,,52.6,,,,
Barbados,2010,Gender of Top Manager,,Top manager is female,Average,75.5,,100,,45.8,,,,
Barbados,2010,Gender of Top Manager,,Top manager is male,Average,32.6,,0,,49.1,,,,
Barbados,2023,,,,Average,32.6,14.5,16.9,35,48.7,37.8,59.7,n.a.,73.5
